Görüş,Durum
Ürün çok iyi getiren sürat kargo rezalet,0
1 yönleri: Çekişi güzel. 0 yönleri: Hortumu kalitesiz görünüyor. Kullanmadan anlaşılmayacak.,1
kesinlikle tavsiye etmiyorum.nerdeyse 1 yıldır kullanıyorum.önce ADSL için aldım. sonra VDSL geçişi yaptım.ama hergün 3-4 defa reset atmak zorunda kalıyoruz.sürekli bağlantı kopuyor.,0
ürünün işlevi fena değil ama resimde gözüktüğü gibi büyük değil.,2
Berbat kendini siliyor verilen paraya yazık,0
ürün resmindeki gibi değil.ürünü iade ettim.,0
Beyler 4defa şarj ediyor süper bişi ben 45 TL'ye aldım,2
korkmaz kalitesi 👍,1
Ürün güzel, gayet kaliteli ve şık.Evet gerçekten sesi biraz gürültülü, çok rahatsız etmiyor yine de .Bir yıldızı sesten kırdım.,1
Arkadaşlar 2 adet aldım, ancak ses kalitesi çok kötü Bas olarak Apple kulaklıkların 4 te 1 i etmez. Bas nerdeyse hiç yok. Çinli ucuz kulaklıklarda ki gibi bir sesi var.,2
Ürün elime çok hızlı bir şekilde ulaştırıldı. Hepsiburada ya teşekkürler. Ancak ütünü satın aldım elime ulaştıktan sonra ve kutuyu açtıktan sonra eski stok olduğunu anladım. Cihazın versiyon 1 ve daha sonra geliştirilmiş chipseti ile versiyon 2 si çoktan çıktı ancak elime gelen cihaz versiyon 1. Ürün tanımında bu belirtilmeli. Cihaz versiyon 2 olmadığından aldığıma pişmanım.Yurtdışında olduğumdan da geri iadesi pek mümkün değil. 2.4 ve 5 ghz de çekim gücü standard ucuz modemlerin ayni ayarında0 hatta 5 ghz de çekim gücü çok zayıf diyebilirim.,0
Merhaba, vorteil mağaasından 17 ağustosta sipariş verdiğim çay makinası aynı gün onaylandı ve ertesi gün kargoya verildi bilgisi geldi. Kargo takibinde teslim adresi ankara yerine istanbul olduğunu gördüm. Mağazaya ulaşabileceğim tel numarası olmadığı için ‘Mağazaya soru sor’ bölümünden yazdım cevap ertesi gün geldi ve kargo şirketini arayıp sorunu halletmem söylendi. Ben sorunun kendilerinden kaynaklandığını ve onların halletmesi gerektiğini yazdım defalarca ancak hiçbirşey yapmadılar. Aradan on gün geçti ve ürün halen istanbuldaki kargo şubesindeydi. Sırf yorum yapabilmek için kargo şirketini aradım ve adres değişikliğini yaptım ürün ertesi gün elime ulaştı. Tek bir telefonla hslledilebilecek bir sorun için bile kılını kıpırdatmayan sorumsuz bir satıcıyla muhatap olmayın derim. Vorteil mağazasından uzak durun.,0
ürün güzel isitiyor. kule tipi oldugu icin fazla yer kaplamiyor bu avantaj lakin kablosu kisa biraz daha uzun olabilirdi. plastik yerleri cok ısınıyor.,2
Ürün kırık geldi iade ettim halen ilgilenmediler tavsiye etmiyorum paranızı çöpe atmayın çok kötü görüntüyle karşılaşmayın sizde şikayetçiyim.!,0
5.5 telefonunuz varsa sığmıyor.,2
tekçarşı dan regal dondurucu sipariş verdim.siparis sayfasına baktıkça daha kargoya verilmemiş görünen siparişim tahmini teslim tarihinden 2 gün önce elime ulaştı.teşekkürler tekçarşı,teşekkürler horoz nakliyat,2
sorduğum sorulara beklemeden cevap verildi.iletisim iyiydi.urun beklediğim şekilde geldi.Servis kaydı zamaninda olusturuldu.calismasinda problem yok.,1
Ürün harika bi sıkıntısı eksiği yok.,1
ürün mükemmel. parasını hak ediyor kesinlikle,1
Ceviz gibi hafif sert cisimleri yeterli kadar ufaltmıyor. Ancak soğan vs sebzelerde başarılı.,2
Ilk aldığım günden beri kapağı tam oturmuyordu normal dediler kapağı tutan menteşe saç kapaktan resmen yırtılmış saç nasıl yırtılır kağıt gibi vidası kopsa çıksa anlarımda kapak açılınca üstüne baskı olcak konumda olsa onuda anlarım fırın gömüldü dolap içine desteği var alttan hala şok dayım gittim mağazadan aldım görerek alayım dedim spot çıkmasın diye insanda şans olacak şimdi tamirci çağır fırından pahalıya gelir garantisi bitmiş saten yeni nesil taktik garantisi kadar ömürlü olsun sonra yenisi alınsın evdiyalık yapmıyorlar artık dayanıklı olsun dedim en iyi marka aldım ucuzu olmasın dedim al işte aynı yazık,0
Ürünü Uzun araştırmalar sonucu aldım. Özellikleri bakımından fiyatına bakarak güzel. Ama Asus gibi bir firmaya bu kadar zayıf bir kutu içeriğini yakıştıramadım. İçine koyulan kitapçıktaki resimler malesef kartın kendi resimleri değil. Mesela Sıvı soğutucu yerleştirdiniz ve pompayı hangi sokete fanı hangi sokete takacağım dediniz dur bi kitapçıktan bakayım derseniz malesef gösterdikleri yerde gösterdikleri soketler mevcut değil. Düzelteceklerdir diye düşünüyorum. Bi Asus stickeri bile yok kutu içerisinde. Pro serisi bir kartın bu kadar acele hazırlanıp paketlenip servis edilmesi beni düşündürdü. Ama fiyatına göre özellikleri bakımından 3 yıldızı hakediyor. Paketleme düzgün olsa 5 yıldız alabilirdi. Böyle şeylere takılmıyorsanız düşünmeden alabilirsiniz.,2
ürünün emişi ve compakt olması çok iyi teşekkürler hepsi burada teşekkürle black decker,2
cok sesli calisiyor. hepsi burada sorunlu buzdolaplarinimi satiyor.,0
vestel akıllı bileklik anlatıldığı gibi değil,devamlı kopma yaşanıyor hiç bir çağrı ve bildirimler görünmüyor,0
Çekişi çok güzel fakat arnica et14402 elektrik süpürgesinin toz haznesi sapından takırtı geliyor bir parça yerinden cıkmış gibi bu normalmidir yoksa sıkıntı mı var diğer herşeyi muhteşem,0
anneme hediye almistim gayet memnun ben indirimden almıştım annem cok memnun,1
yorumlarda bahsedildiği gibi sapı ince ve kolay kırılacak gibi duruyor. enerji tüketim sınıfı c. bu fiyata anca bu kadar,2
Çok kısa sürede ulaştı ürün anlatıldığı gibi hiç bi sorun yaşamadım ürün özenle paketlenmiş teşekkürederim,1
4yıldır kullanıyorum..1kere motoru yandı..hortumu yırtıldı..turbo başlık sadece halılarda güzel..laminantta kırıntıları ordan Oray'a savuruyor..Kokuda suyu dökmezseniz doğal olarak kokuyor..Parçaların içini diş fırçası ile temizliyorum..Emiş gücü Zaman'la düştü..,0
Çok pratik çok güzel bir ürün tavsiye ederim,1
gayet şık bir ürün . sesi biraz fazla. daha sessiz bir model var desibeli daha düşük keşke onu alsaydım.,2
kalitesi cok iyi.buyuk davetler icin ideal ve kullanisli,1
arkadaşlar keşke biraz daha para verip daha iyisini alsaymışım diyorum. Yuvarlak tepsi iyi hoş ama izagara teli ve diğer tepsiyi fırınsa sokup çıkarmak için çok çaba harcıyorum. Kaymaları gereken olukları firma pek önemsememiş anlaşılan. bunun dışında aynı aynda iki şey pişirmeniz mümkün değil.,0
ürün cok kullanıslı ve şık kaba da değil sesi de gayet güzel.msjlaşmak da gayet kolay ve rahat özellikle kalem ile daha kullanışlı tercih edilir,1
Çok sıradan kesinlikle parasını hak etmiyor,0
Bu Süpürgeyi 2 yıldır kullanıyorum çekişi güzel ama borusu kırıldı ve firma , servisler bu sorunla ilgili herhangi bir iyileştirmeye gitmiyorlar tavsiye etmiyorum . Bu kadar kuvvetli çekişi olan bir süpürgenin aksamlarını da sağlam yapmalılar.ilgililere duyurulur,2
Urunu arkadaki cekmeyen oda icin almistik ev 85m2 fakat malesef bu modemde arka oda da cekmedi mutfak yakin oldugu halde orda da 2 dis cekiyor. Kopma sorunumuz vardi o cozuldu hizimjz bazen maximum alaiyorz bazen yariya kadar dusuyor simdilik boyle gozlemledm,2
bu nasıl merdiven çocuk merdiveni gibi çok küçük,2
Tavsiye ederim,1
2 gündür kullanıyorum. ufak bir cihaz. kanal geçiş suresi 2sn. Menüsü başarılı. harici disk 1tb ve usb disklerde sıkıntı çıkarmadı. fakat bir kac video dosyasini oynatmadi. cihaz açılış suresi 4 sn. TKGS ile kanalları güncelleme suresi cok kısa. Kumandasi ile Samsung tv mi kontrol edebiliyorum (ac kapa ses source). görüntü kalitesi hd ve sd kanallarda başarılı. kutu içeriği yeterli. Cihazı tavsiye ederim.,2
Anneme anneler günü hediyesi aldım süpürge on numara dayanamadım tüm evi süpürdüm,1
Hayır. 1 kere kullandık bozuldu. Servis nasıl temin edebilirim. Bı kadar kalitesiz mi bu ürün,0
Ürün açıklamasında hem 4.7-6.0 arası modeller için uygundur yazıyor hem de 3.5-6.0 arası için uygundur yazıyor. 4.6 ekranlı Sony Xperia Z5 Compact'ım var, ve kullanım esnasında başımı döndürdüğümde telefon tepsinin içinde kayıyor. Ayrıca karton VR gözlüklerinde bile olan buton bunda yok. Bazı uygulamalar buton ile ekrana dokunmayı gerektiriyor, bu uygulamaları kullanamıyorsunuz.,2
0 yönleri: Ürün geldiğinde bozuk çıktı. Hayak kırıklığı oldu.,0
Parçalar tam oturmuyor. Özellikle çırpıcı motora oturmuyor düşüyor.,2
Herkese selemün aleyküm çok tecrübeli olmasamda edindiğim bilgileri sizlere aktarmak istiyorum daha öncesinde zyxel airties asus gibi modemleri kullandım türknet kullanıcısıyım asus n16 uzak durun türknet için türknet paketim 50 mb indirme 10 mb yükleme kadeşimin söylemesi tam bir bilgim yok modem saloda kurulu airties wifi ile aldığım hız odamda 4 ile 6 mb arasında bazen 2 mb bile oluyor salonda 10 mb veriyor filimleri 480p ile izlemekten bıkkınlık geldi internede araştırma sonucu bu modemi buldum fiyatı biraz pahalı bulsamda işe yarazsa 450 tl çöp olur dedim 14 gün iade koşulunu öğrenince modemi aldım modemi salona kurulumunu yaptım ( not modemi bilgisyar üzerinden kurun uygulamaya göre daha iyi ) modem wifi ince ayarlarını yapın sinyal gücü weri iletimi gibi keenetic modemden salonda wifi 5 ghz hız testinde salonda 42 mb indirme 9 mb yükleme odamda 39 mb indime 8.5 yükleme arada oturma odası ve mutfak var en uzak yatak odasında 32 mb indime 7.80 mb yükleme 2.4 ghz hız testinde gayet başarılı 7 ile 8 mb düşük çıkıyor 5 ghz göre filimleri 480p den 1080p izleyince katarak amilyatı olmuş gibiyim az sövmedim türknete meğer sorun modem deymiş ev dikdörtgen şeklinde 100 metre kare evin her yerinde 2.4 ve 5 ghz wifi çekiyor hatta bina önündeki yoldan dahi çekiyor 2.4 ghz de ısınıyor diyenler var sıcak değil ılık diyelim içindeki kartı sıcak olabilir plastik kasası ılık ben modemin uzun ömürlü olması için fan sistemi yaptım plastil kasa buz gibi modemi tavsiye edermiyim kesinlikle ederim kendine eziyet etme bu modemden al buyorumu hepsi burada kriterlere uygun değil deyip yayınlamadı,0
Ben tavsiye etmiyorum küçük firin gibi izgara ile alakası yok üsten ısıtıyor,0
1 yönleri: Teşekkür ederim, güzel bir ürün, güzel alış veriş oldu, sorunsuz şekilde aylardır kullanıyorum. Teşekkür ederim.,1
Mutfak için ideal...,2
Perfect,1
Üründe çatlaklar var 2 yerde nasıl bir ürün göndermedir bu, paketleme çok özensiz şimdiden sogudum kullanmadan çöpe attım. Teşekkürler..,0
hayir çok kötü urun geldi,0
Hiç beğenmedim çay kaynadiktan sonra kirece venzer beyaz beyaz şeyler çıkıyor ve çayın tadı güzel olmuyor tekrar iade edecem,0
malzemesi kaliteli olmasa da ihtiyaca cevap veren bir ürün,1
Homend 1711 Royaltea modelini satın aldım. Görüntüde her şey güzel fakat gelin görün ki çaydanlığın ağız kısmı en tepede konumlandırıldığından çaydanlığı bardağa çay koymak için hafifçe eğildiğinde içindeki süzgeç ağız kısmına yanaşıyor ve daha kısa kaldığı için de süzgeçte ki tüm çaylar (çay otları) çaydanlığın ağzını tıkıyor ve çay demliğin ağzından ip gibi dökülüyor. Hal böyle olunca sizde çabuklaştırmak için biraz daha eğiyorsunuz ve hoop çaylar kapağın etrafından dışarı ve kapak tutamaç kısmı plastik ve geçme montajlı sıcaktan kapak genleşiyor ve açmak için ciddi mücadele vermelisiniz. Birkaç zaman sonra da bir bakmışsınız ki tutamaç elinizde kapak hala yerinde.Elimde olsa işlevselliği hiç ama hiç düşünmeden sırf görüntü olsun diye böyle bir ürün imal ettikleri için bu çaydanlığın tasarımından üretim aşamasına kadarki kısımda emeği geçen herkesi derhal kovardım. İnanın çaydanlığı aldığım günden bugüne her çay doldurduğumda küfür ediyorum. İlk haftasında Homend firmasına mesaj atıp memnuniyetsizliğimi ve nedenini izah ettim ne yapmamızı istiyorsunuz dediler aslında farklı bir ürünle değişim istemek gibi bir niyetim vardı fakat daha o mesajı yazmadan önce ürünleri inceleyip ve tüm modellerin ağız kısımlarının aynı olduğunu gördüğüm için hiç buna yeltenmedim ve onlara ne yapabileceklerini sordum çözüm önerileri daha büyük bir süzgeç gönderebiliriz bu belki sorununuzu çözer dediler çaresiz peki dedim. Tabii ki öyle bir süzgeç de hiçbir zaman gönderilmedi. Toparlamak gerekirse başlıkta da dediğim gibi bu ürün tam bir tasarım özürlü ve başarısızlık timsali bir üründür. Şiddetle ÖNERMİYORUM!!!,0
Dış dizayn süper fakat ..özellikleri anlatıldığı gibi deyil,0
yapiskanlari kuvvetsiz, yapistigi yerden cikiyor ,telefonun agirligini tasimak icin yeterli degil.,0
Bozuk kabloyla kazanç sağlayacak kadar aciz olmayın insanlar hediye için aldığı zamanlar oluyor ve parasıyla mahcup oluyor. sırf uğraşmamak için geri göndermiyorlar diye bozuk ürünü yollamayın,0
benim ablam bunu kullanıyor ve yapmadığı desende kalmadı gibi bişiy...ben pek anlamam ama benim hanım da hani bana hani bana diye diye kafamı kuruttu ve sonunda onada aldım....,2
Süper telefon,1
Yaklasik 6 aydir kullaniyorum. Herhangi bir sorunla karsilasmadim. Aldigimda cok begenmistim anneme de bir tane hediye almistim. Tavsiyem suyunu cesme suyundan kullanmayin icme suyu kullanin. Gecen annemin evde utu yaptim kum gibi kirec biriktirmis haznesine ugrastim bayagi kirecini temizlemek icin. Ancak kendi evimdekinde hicbir sorun yok cunku aldigimdan beri icme suyu ile kullaniyorum. Ozellikle istanbulun suyu kirecli arkadaslar. Eger buna dikkat ederseniz gonul rahatligiyla kullanirsiniz urunu. Buhar gucu saglam suyu cabuk bitiriyor ama bu da buhari saglam veriyor demek. Icme suyu ile kullanirsaniz sorun kalmaz.,1
Bu marka mağazanın ve siteniz üçkağıtçı dir çünkü mali satın faturası gelmedi yarın sizleri vergi dairesine şikayet edicem,0
Görüntüsü hoş, baslar güzel fakat tizler için aynı şeyi söyleyemem. Tavsiye etmiyorum!,2
Ürünü ilk defa kullanacağım. Aynı markanın farklı bir ürününden memnun kaldığım için tercih ettim. Umarım işe yarar.,2
Valla bizde iyi ve bilindik marka diye aldık ama hemen bozuldu birde getirin 35 lirada servis parası verin yapalım diyorlar daha yeni almıştık hiç memnun kalmadık sakın almayın bir daha asla bu marka almam,0
1 yönleri: Sıkıntısız, bu üründen 3. alışım,1
22 Ekimde aldım şimdiye kadar kullandığım en iyi elektrikli süpürge çok memnun kaldım. Herkese tavsiye ederim. Tereddütsüz alabileceğiniz bir ürün.,1
kargo hızlı;servis yavaş 3 güne randevu veriyorlar.kurulmadı ama ızgaralar döküme benzemiyor ince gibi.,2
Parçası eksik geldi, ızgara telini köşelerde tutan delikli plastik parçadan 4 tane olması gerekirken 3 tane çıktı, haliyle o küçücük parçadan dolayı kullanamıyorum şu anda.,0
Gerçekten çok güzel ve fiyatı çok uygun,1
ürün basit çin malı bir ürün.,0
cam kırılma durumu ve açma kapama tuşlarının erimesi olayını göze alarak sipariş veriniz,0
Ürün göründüğü gibi, hızlıca geldi. Ancak 1500 Wat bir ürün için performansını beğenmedim. Pişirme süresi uzun. Kulpları çok ısınıyor ve kapağı açtığınızda buhardan haşlanma riski çok yüksek. Buna benzer bir yorum okumuş ve dikkat edilirse niye yanasın diye düşünmüştüm ama öyle değilmiş. Kapağı kontrol için açarken tek taraflı olarak yerinden çıkıyor. Benzer kalitede başla bir ürün kullanıyordum çok memnundum ancak kablosu arızalanınca yenileyelim dedik ama beklentimin çok altında malesef.,0
0 yönleri: Telefon elime hemen geçti fakat, kutuyu açtiğımda o kadar özensiz paketlenmiştiki, telefon, telefon kutusunun içine konmak yerine alalen atılmış gibi geldi. Çıkardiğımda görünürde bişey yok gibiydi. Şarja taktiğımda, ışığı yandiğında birde baktımki ekranın etrafı bildiğiniz boşlukta, ekran kopmuş gibi oynuyo. Sağ tarafında bişey yok sol tarafı abes bi şekilde kırık. Şarja taktiğımda ise 3 saatte %50 dolamadı. İadesini oluşturdum, bu arada firmayıda arıyorum ama telefonlar ton bantta, ilk sıradasınız diyo bekleme süreniz 2 dk, ama o 2 dakika 20 dakikada gelmedi.kesinlikle paramın iadesini istiyorum. Teşhir ürün yazıyor, ekranı kırık değil, cizik değil ama daha beter durumda. Ne şarj oluyor, nede ekran denen birşey var ele alınası.ben para iademi ostiyorum kesinlikle,0
arkadaşlar sarji hic gitmiyor ekektirikte kullaniyorum ve tras ayar kısmı çok kötü kırıldı ve şimdilerde tras etmiyor kesmiyor işin özü tavsiye etmiyorum,0
1 senedir kullanıyorum resmen minik canavar Bütün evi çok rahat süpürüyor ve çekiş gücü gayet iyi çoğu zaman düşük devirde kullanıyorum çünkü halıyı kaldırıyor fiyatına göre iyi,1
Ürün bozuk çıktı.,0
Gayet güzel.,1
Öncelikle hepsiburada ya hızlı ve güvenli gönderimi için teşekkür ederim. Ürünü henüz kullanma fırsatım olmadı ama kullanan tanıdıklarım var. Zaten internetteki yorumlarda gayet 1. Memnun kalacağımdan eminim. Fiyatınında piyasaya göre uygun olduğunu düşünüyorum. Kaçırmayın.,1
Ürünü denedim temiz yıkadı..,1
Güzel bir ürün kulanımı pratık ve kolay,1
On numara bir bir ürün hızlı Kargo 5 kişilik bir aile için idealdir hepsi buradana teşekkür ederim,1
şimdiye kadar kullandığım ütü ler ile ütü çile idi şimdi hiç zoruma gitmiyor artık ütü,1
güzel uygun fiyari,1
beğenerek kullanıyoruz. tavsiye ederim,1
1 hafta kullandım sonra hemen bozuldu,0
Çok fazla su tüketiyor ayrıca çok keskin çizgileri açmıyor. Biraz hayal kırıklığı yaşadım ama iş görür neticesiyle iade etmedim.,2
cok saglam, kaliteli. sessiz. cok iyi yikiyor.,1
Ürün geldi, bakalım çok hoş güzel görünüyor..,1
Bayram öncesi Ankara Gölbaşı bayiisinden Vestel derin dondurucu aldım. Ürünün üst kapak menteşeleri arızalı çıktı servis incelemesinde ürünün arızası tespit edilerek giderilmesi için 4 defa servis gelmesine rağmen doğru menteşeyi getiremedi ve mağduriyetim giderilemedi, 20 gündür ha buğum ha yarın bekliyorum bir sorumsuzluk bir ciddiyetsizlik hal bekliyorum ve çok pişmanım vesteli tercih ettim diye Tüm sorumluları Allaha havale ediyorum,0
Ürünü efsane Cuma kampanyasından aldık. Kullanım sonrası düşünceler 1 yönde. Ütü çoğu kişinin şikayet ettiği gibi ağır fakat bu durumun avantajı da kumaş üzerinde fazla enerji harcamadan sizi yormadan ütünüzü yaptırması. Su akıtma vs gibi durumlarla biz karşılaşmadık. Çok fazla buhar veriyor ve içindeki suyu çok bitiriyor. Ama yaptığı işin sonucu mükemmel tavsiye edilir.,1
Hemen teli koptu,0
Hayatım da bu kadar ses getiren bir ürün görmedim geceleri ses den uyuyamiyoruz sis siz olun sakin bu kılmayı almayın,0
satıcı ya teşekkür ediyorum ürün 1gün sonra elime ulaştı.Kargo iyi ürün orjinal ambalajında ,bu ürünü aldıktan sonra ilk defa takılmadan film izledim.Verdiğim parayı hakediyor.,2
2 sefer kullandim ürün pert dönen plastiği 2 kullanımda gitti verdiğim para çöpe,0
Aktif gürültü engellemeyi çalıştırmayı bir türlü başaramadım. Ses kalitesi iyi genel olarak kaliteli bir ürün ancak anc için aldığım bir kulaklığın gürültü kesme özelliğinin kullanımını sağlayamamak puan kırmama sebep oldu.,2
Sakız kıvamında ve tutuş 0 kesinlikle paranızı çöpe atmayın.,0
dikiş makinası yerine tüy alma makinası göndermeleri.... 🙄,0
ürün çok güzel kesinlikle tavsiye ediyorum,1
ürünün parçalama gücü çok iyi.çift bıçak olunca iyi iş görüyor.ama kapağında değişik bi kapama sistemi var daha zor açılan bir kapak yapamazlardı sanırım.o açıdan kullanışşsız.,1
Ben tanıdık mağazadan aldım 6 çekmeceli cumartesi geldi servis kurulumu yaptı derecesini -18 ayarladı bana bir tuş gösterdi sabah buna 1 sefer bas 1 saat sonrada 1 defa daha bas dedi öyle kalsın dedi dolap 2,5 gündür süper de çalışıyor normalde böylemi çalışıyor yardım lütfen,0
bu modem oda içinde hızlı bir bağlantı imkanı sunsa da diğer odalarda kullandığım zaman çekim gücü maalesef biraz zayıf kalıyor,0
4 yıldır kullanıyorum çok iyi,1
ürünü beğendim teşekkür ederim,1
10 yil once aldigim cokta memnunuyetle kullandigim bozulan utum philips azur oldugu icin hic terettut etmeden bu utuyu siparis ettim ancak digerinin tabaninda aktif 98 delik var iken bu utude resimlerde baktigimda daha cok oldugunu gordugumden bu utuyu tercih ettim ancak bu utude toplamda aktif 19 delik var digerleri kapali. ustelik sadece 3 delikten buhar puskurtuyor. digerleri calismiyor. Ayrica buhari kapatip utuyu ısıttiktan sonra buhar veirmeme ragmen su akitiyor. hic memnun kalmadim malesef iade edecegim.,0
super cok çabuk tost yapıyor kullanışlı kaliteli pişman olmazsınız,1
Ürünü 1 hafta oldum alalı. Kasa kalitesi zayıf. Tuşlara batıkça boşluk sesleri geliyor. Ürün kalitesi ben gidiyorum havasında. 256ssd 8ram i5 olması güzel hızlı. Win10 pro değil. özellik olarak en alt özelliklere sahip.,2
Ses kalitesi ortalamanın biraz üzerinde ancak müzik yokken tüm sesleri olduğu gibi duyuyorsunuz. Ayrıca oldukça hafif olduğundan kulağınızda unutmanız mümkün. Taşıma kesesi de Sennheiser gibi daha güzel olabilirdi.1 yıl kullanım sonrası ekleme: Kulaklığın bir tarafı bozuldu ve kulaklığı iade ettim,2
Ütünün hiçbir ürünü avantajı yok. Dezavantajları; 1-Su hazinesi çok haz su çabuk bitiyor. 2-Tüm kıyafetlere her sıcaklıkta su damlatıyor. 3-Tüm kıyafetleri patlatıyor. 4-Kırışıklıkları hiçbir şekilde açmıyor.,0
Super bir urun oldukca kullanisli iciniz rahat bir sekilde alin,1
Güzel ısınıyor ve hafif kullanımı rahat,1
Anneme aldım kendisi oldukça memnun marka olarak zaten iyi bir marka fiyat hepsi burada da daha iyiydi teşekkürler.,1
Tek buton, gayet kullanışlı bir ürün. 2 dakikada Türk kahvesi içiyoruz işte, bu fiyata(240 TL) gayet alınabilir.,1
idare eder,2
Bu ürünü yorumlara aldanarak aldım sütlü kahve sevenler için fiyasko sütü ısıtmıyor onu geçtim çok yavan bi tadı oluyor yoğunluğu ayarlanabiliyor ama en yoğunu bile çok yavan bi tat aldık duruyor köşede bir işe yaradığı yok sütlü kahve sevenler paraya kıyıp biraz daha iyi bir makina almalılar,0
Kargo kötü ürün paketleme kötü hizmet kötü inşlh ürün orijinaldir,0
Bu paraya alınacak bi klavye değil kesinlikle tavsiye etmiyorum,0
Asla almayın!!! bana arızalı geldi gösterge ışıkları yanmıyor öndeki ısı ayar düğmesi boşa dönüyor ayarlama yapamıyorsunuz yapamadığınız için yağ fazla kızıyor ve taşma yapıyor... aldığıma bin pişman oldum ilk denemede mutfak battı resmen... ucuz etin yahnisi hesabı oldu paramda çöpe gitti.. iade de yapamadım seyehatte olduğum için şimdi bakıp bakıp kendime kızıyorum sadece... :(,0
Sıfır verecektim ama sistem en az 1 yıldız verdiriyor maalesef. 1 yıldır kullandığım nitromix p24 kombim 2 kıştır çoluk çocuk bizi soğukta bıraktı. Dünyanın parasını verdiğim kombi 2 kışta 2 kere bozuldu. Servis zaten memur gibi çalışıyor. Arıza hafta sonuna denk gelirse deymeyin keyfinize, ailecek kar kış tatili, hem de bedavaya. Tercih yaparken kullanıcı tavsiyelerine kulak verin derim. Demirdöküm bizim alıştığımız gibi değil artık. Başka marka vermek istemiyorum ama kullanıcı yorumlarına göre biraz daha para verip adam gibi birşey alın derim.,0
5 fincan alıyor 6 fincan çıkmıyor. Pratik ve kullanışlı.,1
pek beğenmedim,0
Ürünün paketi açık şekilde elime ulaştı.,0
merhaba sabahtan siparis verdim ama hala kargoya verilmedi,2
kaliteli çeyiz için muhtwsem,1
Ürünü alalı bir hafta kadar oldu, bir iki kez denedim ancak doğraması bir garip, nasıl desem, doğramaya başladıktan sonra örneğin soğan bıçakların altında kalıyor parçalar, tam manasıyla doğrama yapmıyor. Bu benim gözlemlediğim. doğrama yaptığı kısımları da iyice parçalıyor, ortaya çıkan sonuç bir kısmı hiç dokunulmamış neredeyse, bir kısmı neredeyse su olmuş.. Belki de 4 bıçaklı vs. almalıydım.,0
lensler kalitesiz sağa sola ileri geri ayarlama kısmı yetersiz.. fakat fiyatına göre denemek için alabilirsiniz.. daha iyisini kullandığım için bana yetersiz geldi..,0
disklerii incecik bir poşete sarıp kargolamak nedir ya,0
ses ayar düğmesi yok resimde kocaman gerçekte küçük ses az,0
Arkadaşlar 15 mt mesafe içinde 2 adet duvar var ise hiç bi ise yaramiyor,0
saati bu firmadan alırsanız hata yaparsınız..!,0
keşke en azından poşete koysaydınız,0
Arkadaşlar kulaklık geldi 5 gündür kullanıyorum yorumları okuyarak aldım hayet İYİ ama size kusurlarını soyluyecem baş çok az ses normal düzeyde yani pek çıkmıyor dışarda felan taktiğin zaman dışarıyı duyuyorsun yani ne iyi ne kötü,2
Ürün sorunsuz elime ulaştı ve ilk denememi yeni yıkattığım halımızda denedim. Meğersem biz yıkattık sanıyormuşuz. Çekim gücü max'ta kas yaptırır yani o derece kuvvetli. Teşekkürler Hepsiburada ve Philips Marathon. :),1
Ürün çok iyi kargo çok hızlıydı 1 gün içinde geldi .Teşekkür ederim,1
Ürünü asla tavsiye etmiyorum.,0
Ürünün ucunu sivri bekliyordum ama 7 plusa göre geldi şarj yerine göre bozuldu bide,0
memnun değilim kargom 8 günde geldi mağaza suçu kargo şirketine atıyor kargocu mağazaya mağaza iletişimi iyi değil saygısızca adrese mi bakacaz diyor neye göre göndereceklerse artık.?,0
Öncelikle orijinal değil. Orijinal kulaklıkla karşılaştırınca farklarını anlamak çok kolay. Ses kalitesi orta, bas yok denilecek kadar az. Çok kaliteli bir şey aramıyorsanız idareten kullanmalık alabilirsiniz.,0
Ürünü yorumları okuyarak aldım.İyi ki de almışım diyorum. Çekim gücü gayet iyi Ergonomik ve şık bir süpürge. Kesinlikle tavsiye ederim.Ayrıca mağaza da hızlı kargoladı.Paketleme de çok Bu mağazadan başka alışverişler de yapacağım.Çok teşekkür ederim.,1
TELEFONDA EXYNOS 7885 VAR 4 GB RAM +ONE UI 1.1AYRICA ANDROIDQ GELIYOR TELI ANTUTU J SERISININ EN IYISI 98 .BUCUKLARDA KAMERA CIFT 13+5,0
Yorumlara bakarak satın aldım. Gönül Kitchenaid almak isterdi ama çok pahalı diye düşünürken aslında Kitchenaid’e hiç gerek olmadığı kanaatindeyim şimdi. Oldukça pratik ve işinizi görmenizi rahatlıkla sağlıyor. Klasik mikserlere göre çok daha fazla harikalar yaratıyor. Anladığım kadarıyla Arzum fiyat/performans açısından en iyisini yapmaya çalışmış, başarmış da. Ayrıca ilk Arzum marka ürünüm bu oldu. Diğer ürünleri de böyleyse marka olarak gayet düşünülebilir. Tavsiye ediyor muyum? Kesinlikle evet.,1
Ürün beklediğim gibi, Korkmaz kalitesinde. Fiyat açısından makul. Ürüne dair tek eleştirim, çaydanlık kapağının plastik olması, çelik olsa daha iyi olurdu ama çok önemli bir detay değil. Satıcı çok iyi, ürün aynı gün kargolandı, bir gün sonra elime geldi.,1
Rica etsem biri bana açma kapama dügmesini nasıl çalıstırabilecegi mi anlatabilir mi? Güvenlik kilidi falan mı var, mümkün değil 0 dan 1 e hareket ettiremiyorum.,0
